iter	Logloss
0	0.6557119717
1	0.6188031911
2	0.5850211096
3	0.5531824719
4	0.5277492969
5	0.5025017688
6	0.4808470084
7	0.4578355529
8	0.4383080771
9	0.4220871624
10	0.4040343779
11	0.3877024466
12	0.3708907097
13	0.3547434328
14	0.34031049
15	0.3268985938
16	0.3141217045
17	0.3038675022
18	0.2933194857
19	0.2836003248
20	0.2750156076
21	0.2668994487
22	0.2590452
23	0.2529826075
24	0.2473068229
25	0.2420935562
26	0.2361263472
27	0.2304305811
28	0.2248944784
29	0.2209845645
30	0.2168891547
31	0.2124578023
32	0.2087716445
33	0.2055171896
34	0.2018617598
35	0.1993081084
36	0.1966074433
37	0.1935772474
38	0.1907333693
39	0.1885367246
40	0.1864067791
41	0.184126095
42	0.1822522654
43	0.1806587047
44	0.178535052
45	0.1769654093
46	0.1750409762
47	0.1737643717
48	0.1725626389
49	0.1710010764
50	0.1698004687
51	0.1686271928
52	0.1674172402
53	0.1664517973
54	0.16529965
55	0.1643242821
56	0.1632999097
57	0.162405385
58	0.1615275905
59	0.1607229461
60	0.1601745266
61	0.1594358993
62	0.1587259957
63	0.1578907625
64	0.1570440533
65	0.1563382245
66	0.1555592794
67	0.1551048357
68	0.154366905
69	0.153795081
70	0.1533704722
71	0.1528837757
72	0.1523432836
73	0.1517465421
74	0.1511171804
75	0.1506903235
76	0.1503182501
77	0.149993725
78	0.1496847231
79	0.1494083386
80	0.149098118
81	0.1488433949
82	0.1486237121
83	0.1483740289
84	0.1479824997
85	0.1476794358
86	0.147401281
87	0.1470834158
88	0.1468702135
89	0.1465799501
90	0.1463339466
91	0.1460320689
92	0.1458227521
93	0.1456416307
94	0.145353709
95	0.1451260868
96	0.1449458535
97	0.1448111113
98	0.1445842362
99	0.1443739384
100	0.1441551919
101	0.1440462372
102	0.1438613273
103	0.1437380257
104	0.1435483345
105	0.1434238396
106	0.1432191282
107	0.1430360405
108	0.1429375343
109	0.1428247879
110	0.1426537136
111	0.1425159483
112	0.1424517096
113	0.1423136148
114	0.1420854906
115	0.1418627079
116	0.1417162409
117	0.1415792004
118	0.1414863722
119	0.1414248158
120	0.141310787
121	0.1412351555
122	0.1411198498
123	0.1409279483
124	0.1407943901
125	0.1406570559
126	0.1405743407
127	0.1404742863
128	0.1403739266
129	0.1402449843
130	0.1401771822
131	0.140083143
132	0.1399471406
133	0.1398204423
134	0.13958251
135	0.1394698571
136	0.1393516297
137	0.1392263211
138	0.1391215512
139	0.139041849
140	0.1389703747
141	0.1388891991
142	0.1386896828
143	0.1386195659
144	0.1385267759
145	0.138401104
146	0.1383142767
147	0.1380972035
148	0.1380060534
149	0.1379266229
150	0.1378284452
151	0.1377130608
152	0.137610676
153	0.1374838652
154	0.1373985271
155	0.1372924047
156	0.1371513709
157	0.1370046619
158	0.1369188785
159	0.136812319
160	0.1367226643
161	0.1365885896
162	0.1364827558
163	0.1364730868
164	0.1363609595
165	0.1362933184
166	0.1362151195
167	0.1361236437
168	0.1360320297
169	0.1359482092
170	0.1358061894
171	0.1357630362
172	0.1356116783
173	0.1355052672
174	0.1354347923
175	0.1353629229
176	0.135273612
177	0.1351596866
178	0.1350689421
179	0.1349431407
180	0.1348948103
181	0.1348269323
182	0.1347682979
183	0.1347447428
184	0.134682982
185	0.1345899166
186	0.1344901647
187	0.1344429395
188	0.1343933073
189	0.1343514019
190	0.1342500107
191	0.1342383947
192	0.1341553159
193	0.1340939194
194	0.1340175399
195	0.1339673159
196	0.1339330635
197	0.1339140313
198	0.1338461581
199	0.1337577626
200	0.1336872526
201	0.133650713
202	0.1336079876
203	0.1335473018
204	0.1334836059
205	0.1334606401
206	0.1334104404
207	0.1332954643
208	0.1332653458
209	0.1332311536
210	0.1331774828
211	0.1330925745
212	0.1329842996
213	0.1329090359
214	0.1328478448
215	0.1328186565
216	0.1327552735
217	0.1326811108
218	0.1326436237
219	0.1325901356
220	0.1325316406
221	0.1324503338
222	0.1323690072
223	0.1322677747
224	0.1322281488
225	0.1321972023
226	0.1320833188
227	0.1319954258
228	0.1319449727
229	0.1319359262
230	0.1318577342
231	0.1318217551
232	0.131732258
233	0.1316964052
234	0.1316091657
235	0.131540739
236	0.1314985452
237	0.1314683182
238	0.1314083171
239	0.1313234603
240	0.1312102475
241	0.1311262309
242	0.1310632196
243	0.1310010625
244	0.1309338188
245	0.1308734966
246	0.1308411238
247	0.1307893316
248	0.1307294007
249	0.1307007248
250	0.1306265255
251	0.1305460124
252	0.1304946823
253	0.1304151961
254	0.1303940013
255	0.1303486248
256	0.1302823117
257	0.1302376887
